name,slug,browse_page,event_ticker,series_ticker,subtitle,collateral_return_type,mutually_exclusive,event_category_deprecated,strike_date,strike_period,available_on_brokers,product_metadata_raw,series_title,series_category,series_tags_raw,series_frequency,contract_url,contract_terms_url,settlement_sources_raw,fee_type,fee_multiplier,additional_prohibitions_raw,event_image_url,featured_image_url,competition,competition_scope,analysis_last_updated,analysis_version,analysis_owner,confidence_score,executive_verdict,model_probability,market_probability,edge_pp,expected_return,r_score,executive_summary_richtext,kalshi_event_url,contract_snapshot_summary,market_discussion_summary,q1_subtitle,q1_table_richtext,q1_paragraph_richtext,q2_subtitle,q2_table_richtext,q2_paragraph_richtext,q3_subtitle,q3_table_richtext,q3_paragraph_richtext,q4_subtitle,q4_table_richtext,q4_paragraph_richtext,q5_subtitle,q5_table_richtext,q5_paragraph_richtext,what_could_change_subtitle,what_could_change_paragraph_richtext,transparency_subtitle,transparency_paragraph_richtext
Will Elon Musk visit Mars in his lifetime?,,,KXELONMARS-99,KXELONMARS,Before 2099,,false,World,,,false,,Elon Mars,Politics,,custom,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/VISITAREA.pdf,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/VISITAREA.pdf,"CNBC | https://www.cnbc.com
CNN | https://www.cnn.com
Fox News | https://www.foxnews.com/
local news outlets with verifiable mastheads in  | https://kalshi.com/
MSNBC | https://www.msnbc.com
official government sources of  | https://kalshi.com/
official representatives or offices of  | https://kalshi.com/
official social media accounts of  or their official representatives | https://kalshi.com/
Politico | https://www.politico.com
Reuters | https://www.reuters.com
Semafor | https://www.semafor.com/
the Associated Press | https://apnews.com/
The Guardian | https://www.theguardian.com
The Information | https://www.theinformation.com/
The New York Times | https://www.nytimes.com
The Wall Street Journal | https://www.wsj.com/
The Washington Post | https://www.washingtonpost.com/",quadratic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who will the next Pope be?,,,KXNEWPOPE-70,KXNEWPOPE,Before 2070,MECNET,true,World,,,false,,New Pope,Politics,,custom,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/NEWPOPE.pdf,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/NEWPOPE.pdf,"ABC | https://abcnews.go.com/
Axios | https://www.axios.com/
CBS | https://www.cbsnews.com/
CNN | https://www.cnn.com/
Fox News | https://www.foxnews.com/
MSNBC | https://www.msnbc.com/
Politico | https://www.politico.com/
Reuters | https://www.reuters.com/
Semafor | https://www.semafor.com/
the Associated Press | https://apnews.com/
The Information | https://www.theinformation.com/
The New York Times | https://www.nytimes.com/
The Wall Street Journal | https://www.wsj.com/
The Washington Post | https://www.washingtonpost.com/",quadratic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
